column_id,p,q,u,v
1,12,1,-1,-11
2,9,-7,7,-16
3,-12,0,0,12
4,-6,-15,15,-9
5,9,7,-7,-2
6,0,-4,4,-4
7,3,-9,9,-12
8,17,9,-9,-8
9,0,9,-9,9
10,-13,-2,2,11
11,-14,0,0,14
12,11,-2,2,-13
13,-12,-14,14,-2
14,-14,-13,13,1
15,-4,1,-1,5
16,-6,-10,10,-4
17,-4,-1,1,3
18,-13,-3,3,10
19,15,2,-2,-13
20,-9,-2,2,7
21,11,8,-8,-3
22,2,1,-1,-1
23,-5,-11,11,-6
24,-4,-6,6,-2
25,10,-7,7,-17
26,-3,0,0,3
27,-13,-12,12,1
28,-2,8,-8,10
29,-1,-2,2,-1
30,2,14,-14,12
31,8,8,-8,0
32,6,6,-6,0
33,6,12,-12,6
34,3,15,-15,12
35,-13,-11,11,2
36,-2,10,-10,12
37,1,4,-4,3
38,-1,-1,1,0
39,10,10,-10,0
40,-1,-5,5,-4
41,17,11,-11,-6
42,8,6,-6,-2
43,14,4,-4,-10
44,-10,0,0,10
45,4,-5,5,-9
46,12,3,-3,-9
47,8,-9,9,-17
48,-7,-15,15,-8
49,-6,2,-2,8
50,12,9,-9,-3
51,-10,-9,9,1
52,-10,-12,12,-2
53,2,12,-12,10
54,5,-2,2,-7
55,-2,-9,9,-7
56,-8,-5,5,3
57,-12,1,-1,13
58,3,9,-9,6
59,3,-1,1,-4
60,12,-4,4,-16
61,2,-6,6,-8
62,-13,-16,16,-3
63,2,10,-10,8
64,-16,-7,7,9
65,15,13,-13,-2
66,5,10,-10,5
67,-5,-8,8,-3
68,5,11,-11,6
69,3,5,-5,2
70,14,7,-7,-7
71,0,-3,3,-3
72,-14,-14,14,0
73,-1,3,-3,4
74,-4,-5,5,-1
75,13,1,-1,-12
76,1,-5,5,-6
77,-5,0,0,5
78,8,12,-12,4
79,-2,3,-3,5
80,2,11,-11,9
81,-7,5,-5,12
82,10,-3,3,-13
83,-13,-8,8,5
84,8,4,-4,-4
85,-15,-7,7,8
86,1,-8,8,-9
87,4,7,-7,3
88,-5,9,-9,14
89,-11,-8,8,3
90,6,-1,1,-7
91,4,2,-2,-2
92,4,5,-5,1
93,7,-4,4,-11
94,4,14,-14,10
95,-15,-6,6,9
96,-6,-4,4,2
97,6,-4,4,-10
98,-5,-7,7,-2
99,3,12,-12,9
100,-7,-3,3,4
101,10,-4,4,-14
102,3,10,-10,7
103,-3,12,-12,15
104,-13,-14,14,-1
105,8,14,-14,6
106,12,-1,1,-13
107,-9,7,-7,16
108,-3,-9,9,-6
109,-7,2,-2,9
110,7,-7,7,-14
111,-14,-10,10,4
112,6,-5,5,-11
113,4,0,0,-4
114,-9,-4,4,5
115,5,-3,3,-8
116,-3,-5,5,-2
117,7,-9,9,-16
118,-3,4,-4,7
119,5,1,-1,-4
120,0,-1,1,-1
121,10,-6,6,-16
122,9,0,0,-9
123,13,-3,3,-16
124,-5,-2,2,3
125,-1,10,-10,11
126,2,9,-9,7
127,7,8,-8,1
128,-14,-8,8,6
129,-7,-6,6,1
130,4,8,-8,4
131,16,4,-4,-12
132,0,4,-4,4
133,13,7,-7,-6
134,-4,-14,14,-10
135,-8,-14,14,-6
136,1,2,-2,1
137,-9,2,-2,11
138,13,14,-14,1
139,-8,-6,6,2
140,1,7,-7,6
141,-17,-6,6,11
142,-7,-11,11,-4
143,12,4,-4,-8
144,-13,2,-2,15
145,2,2,-2,0
146,-4,-2,2,2
147,9,12,-12,3
148,1,-12,12,-13
149,-13,-1,1,12
150,10,-5,5,-15
151,-4,-10,10,-6
152,-11,-4,4,7
153,-8,8,-8,16
154,8,-8,8,-16
155,14,-1,1,-15
156,9,-8,8,-17
157,-3,-4,4,-1
158,-6,1,-1,7
159,-4,11,-11,15
160,12,8,-8,-4
161,-11,-3,3,8
162,3,-5,5,-8
163,9,17,-17,8
164,0,-2,2,-2
165,4,12,-12,8
166,9,9,-9,0
167,-9,-8,8,1
168,9,8,-8,-1
169,-9,-9,9,0
170,5,-4,4,-9
171,-16,-4,4,12
172,10,12,-12,2
173,-15,-10,10,5
174,-12,-3,3,9
175,2,-9,9,-11
176,8,5,-5,-3
177,1,-2,2,-3
178,3,8,-8,5
179,-3,-13,13,-10
180,-16,-11,11,5
181,-3,-1,1,2
182,-12,2,-2,14
183,-3,-12,12,-9
184,3,-8,8,-11
185,-8,-3,3,5
186,14,12,-12,-2
187,7,14,-14,7
188,13,4,-4,-9
189,0,13,-13,13
190,0,-5,5,-5
191,-5,-6,6,-1
192,-2,12,-12,14
193,7,-3,3,-10
194,-3,-2,2,1
195,2,-3,3,-5
196,5,3,-3,-2
197,-10,-10,10,0
198,-5,7,-7,12
199,-6,-6,6,0
200,11,1,-1,-10
201,12,-3,3,-15
202,14,13,-13,-1
203,-4,3,-3,7
204,-6,4,-4,10
205,-8,2,-2,10
206,5,0,0,-5
207,13,16,-16,3
208,-16,-5,5,11
209,-1,-7,7,-6
210,10,-2,2,-12
211,6,-7,7,-13
212,-10,-6,6,4
213,-5,1,-1,6
214,6,-3,3,-9
215,-3,10,-10,13
216,7,12,-12,5
217,1,14,-14,13
218,3,7,-7,4
219,-8,4,-4,12
220,-5,-1,1,4
221,8,-5,5,-13
222,16,10,-10,-6
223,15,11,-11,-4
224,2,3,-3,1
225,-15,-11,11,4
226,4,15,-15,11
227,9,-4,4,-13
228,7,-6,6,-13
229,-4,6,-6,10
230,2,7,-7,5
231,-10,-2,2,8
232,10,3,-3,-7
233,-11,-2,2,9
234,0,3,-3,3
235,1,10,-10,9
236,3,1,-1,-2
237,15,12,-12,-3
238,6,-9,9,-15
239,9,-3,3,-12
240,2,-5,5,-7
241,-11,-6,6,5
242,7,-1,1,-8
243,-10,-11,11,-1
244,-2,-10,10,-8
245,3,-6,6,-9
246,11,4,-4,-7
247,-4,-11,11,-7
248,6,-6,6,-12
249,-8,-4,4,4
250,1,0,0,-1
251,-6,-8,8,-2
252,8,15,-15,7
253,3,13,-13,10
254,-15,-9,9,6
255,-1,-12,12,-11
256,-15,-5,5,10
257,8,13,-13,5
258,-5,-12,12,-7
259,4,-9,9,-13
260,12,7,-7,-5
261,7,6,-6,-1
262,-7,-4,4,3
263,5,-1,1,-6
264,-2,-4,4,-2
265,5,-6,6,-11
266,-12,-13,13,-1
267,7,-5,5,-12
268,-10,4,-4,14
269,-12,-7,7,5
270,-5,-3,3,2
271,-1,7,-7,8
272,-4,2,-2,6
273,17,6,-6,-11
274,-4,8,-8,12
275,7,-8,8,-15
276,-1,4,-4,5
277,-9,6,-6,15
278,10,0,0,-10
279,8,0,0,-8
280,-1,-13,13,-12
281,10,-8,8,-18
282,13,13,-13,0
283,6,-2,2,-8
284,12,13,-13,1
285,-15,-3,3,12
286,-12,-12,12,0
287,11,2,-2,-9
288,16,14,-14,-2
289,6,5,-5,-1
290,-17,-7,7,10
291,-6,8,-8,14
292,13,5,-5,-8
293,-13,-4,4,9
294,-11,-9,9,2
295,16,13,-13,-3
296,-10,-8,8,2
297,-12,3,-3,15
298,7,-2,2,-9
299,10,2,-2,-8
300,-13,-5,5,8
301,13,3,-3,-10
302,6,11,-11,5
303,16,6,-6,-10
304,-4,9,-9,13
305,9,-5,5,-14
306,0,7,-7,7
307,-18,-7,7,11
308,9,-1,1,-10
309,12,0,0,-12
310,9,13,-13,4
311,14,1,-1,-13
312,-8,1,-1,9
313,-6,9,-9,15
314,11,-6,6,-17
315,0,-6,6,-6
316,-7,3,-3,10
317,3,-7,7,-10
318,-14,-5,5,9
319,4,1,-1,-3
320,-1,-4,4,-3
321,-6,10,-10,16
322,11,15,-15,4
323,-10,-17,17,-7
324,9,15,-15,6
325,-5,6,-6,11
326,6,10,-10,4
327,-4,7,-7,11
328,-10,1,-1,11
329,12,12,-12,0
330,-2,5,-5,7
331,-9,-6,6,3
332,-17,-9,9,8
333,-11,-10,10,1
334,-14,-12,12,2
335,2,6,-6,4
336,11,12,-12,1
337,2,-8,8,-10
338,1,-1,1,-2
339,-1,12,-12,13
340,12,5,-5,-7
341,-15,-2,2,13
342,-10,-5,5,5
343,16,11,-11,-5
344,-6,-9,9,-3
345,-9,-3,3,6
346,2,-11,11,-13
347,-2,-11,11,-9
348,4,10,-10,6
349,-2,-12,12,-10
350,6,9,-9,3
351,-8,-9,9,-1
352,16,12,-12,-4
353,10,14,-14,4
354,-11,-15,15,-4
355,4,-10,10,-14
356,11,11,-11,0
357,4,13,-13,9
358,11,6,-6,-5
359,9,14,-14,5
360,14,5,-5,-9
361,-4,-3,3,1
362,-12,-8,8,4
363,-9,5,-5,14
364,-2,6,-6,8
365,-1,8,-8,9
366,-17,-12,12,5
367,-2,-13,13,-11
368,-6,-14,14,-8
369,-8,3,-3,11
370,13,8,-8,-5
371,-9,4,-4,13
372,-2,0,0,2
373,-12,-9,9,3
374,4,9,-9,5
375,9,-2,2,-11
376,2,-12,12,-14
377,3,4,-4,1
378,12,6,-6,-6
379,-12,-5,5,7
380,15,14,-14,-1
381,-18,-8,8,10
382,-6,0,0,6
383,11,0,0,-11
384,5,-7,7,-12
385,-6,-12,12,-6
386,15,4,-4,-11
387,-7,-8,8,-1
388,6,13,-13,7
389,-18,-10,10,8
390,1,-10,10,-11
391,-6,3,-3,9
392,7,0,0,-7
393,12,10,-10,-2
394,3,-11,11,-14
395,-11,-11,11,0
396,6,4,-4,-2
397,-7,-12,12,-5
398,14,8,-8,-6
399,-12,-16,16,-4
400,-16,-13,13,3
401,-8,-11,11,-3
402,10,16,-16,6
403,-4,-8,8,-4
404,11,9,-9,-2
405,2,8,-8,6
406,-14,-11,11,3
407,0,-10,10,-10
408,4,-8,8,-12
409,-2,-1,1,1
410,1,-3,3,-4
411,-5,-14,14,-9
412,16,5,-5,-11
413,-2,-5,5,-3
414,6,15,-15,9
415,0,12,-12,12
416,-7,-1,1,6
417,1,-11,11,-12
418,9,6,-6,-3
419,-3,-8,8,-5
420,-8,5,-5,13
421,7,5,-5,-2
422,5,-9,9,-14
423,-12,-6,6,6
424,2,-4,4,-6
425,7,13,-13,6
426,3,-3,3,-6
427,-14,-4,4,10
428,13,10,-10,-3
429,9,5,-5,-4
430,-1,-6,6,-5
431,-3,-7,7,-4
432,8,-1,1,-9
433,-4,-4,4,0
434,6,1,-1,-5
435,-14,-3,3,11
436,-8,-7,7,1
437,9,3,-3,-6
438,11,16,-16,5
439,-2,-7,7,-5
440,10,13,-13,3
441,-11,-5,5,6
442,17,8,-8,-9
443,8,-4,4,-12
444,-9,-1,1,8
445,6,2,-2,-4
446,-9,-5,5,4
447,2,0,0,-2
448,15,15,-15,0
449,-14,-2,2,12
450,-7,-2,2,5
451,6,14,-14,8
452,-6,-3,3,3
453,9,16,-16,7
454,-11,-1,1,10
455,-11,4,-4,15
456,10,11,-11,1
457,10,7,-7,-3
458,-5,5,-5,10
459,-7,4,-4,11
460,-7,-13,13,-6
461,-10,5,-5,15
462,10,8,-8,-2
463,3,14,-14,11
464,-4,4,-4,8
465,-3,3,-3,6
466,6,8,-8,2
467,-8,-12,12,-4
468,8,3,-3,-5
469,13,0,0,-13
470,-9,0,0,9
471,-16,-10,10,6
472,11,14,-14,3
473,15,8,-8,-7
474,-6,-11,11,-5
475,3,-4,4,-7
476,8,7,-7,-1
477,4,-2,2,-6
478,15,1,-1,-14
479,7,3,-3,-4
480,-13,-6,6,7
481,-8,0,0,8
482,7,10,-10,3
483,-6,-1,1,5
484,-8,-1,1,7
485,1,-4,4,-5
486,0,1,-1,1
487,-2,1,-1,3
488,-5,10,-10,15
489,8,2,-2,-6
490,8,-2,2,-10
491,-8,7,-7,15
492,6,-8,8,-14
493,14,9,-9,-5
494,14,15,-15,1
495,-2,7,-7,9
496,-3,11,-11,14
497,-6,7,-7,13
498,-1,11,-11,12
499,0,10,-10,10
500,-11,3,-3,14
501,0,2,-2,2
502,-1,9,-9,10
503,5,12,-12,7
504,6,3,-3,-3
505,-17,-5,5,12
506,-7,-5,5,2
507,-1,-11,11,-10
508,10,1,-1,-9
509,9,1,-1,-8
510,7,4,-4,-3
511,-11,0,0,11
512,-6,6,-6,12
513,-3,-10,10,-7
514,-1,-9,9,-8
515,4,-11,11,-15
516,-16,-2,2,14
517,-5,8,-8,13
518,15,7,-7,-8
519,2,-7,7,-9
520,-9,-13,13,-4
521,-11,2,-2,13
522,4,-4,4,-8
523,5,9,-9,4
524,-14,-6,6,8
525,-9,-11,11,-2
526,-5,-5,5,0
527,0,-8,8,-8
528,1,6,-6,5
529,-3,1,-1,4
530,-4,-9,9,-5
531,-1,1,-1,2
532,11,-4,4,-15
533,-8,-8,8,0
534,-2,4,-4,6
535,-10,6,-6,16
536,-1,5,-5,6
537,-12,-11,11,1
538,4,-3,3,-7
539,13,2,-2,-11
540,-3,-6,6,-3
541,11,3,-3,-8
542,-13,0,0,13
543,-1,-3,3,-2
544,-10,-3,3,7
545,0,11,-11,11
546,0,6,-6,6
547,11,10,-10,-1
548,-9,-7,7,2
549,-5,-4,4,1
550,3,0,0,-3
551,-1,-8,8,-7
552,-5,4,-4,9
553,11,5,-5,-6
554,-11,-16,16,-5
555,8,1,-1,-7
556,5,5,-5,0
557,-11,1,-1,12
558,-7,-14,14,-7
559,17,5,-5,-12
560,14,0,0,-14
561,-2,9,-9,11
562,4,-6,6,-10
563,-12,-1,1,11
564,-15,-8,8,7
565,-13,-13,13,0
566,-9,1,-1,10
567,13,9,-9,-4
568,2,-10,10,-12
569,-3,9,-9,12
570,10,15,-15,5
571,-7,-7,7,0
572,9,-6,6,-15
573,3,11,-11,8
574,8,-3,3,-11
575,-2,11,-11,13
576,14,14,-14,0
577,-12,-2,2,10
578,-10,-1,1,9
579,-2,-8,8,-6
580,-10,-13,13,-3
581,1,8,-8,7
582,12,11,-11,-1
583,-16,-9,9,7
584,7,16,-16,9
585,-11,-12,12,-1
586,7,11,-11,4
587,7,15,-15,8
588,1,3,-3,2
589,-2,-3,3,-1
590,3,6,-6,3
591,-5,2,-2,7
592,-17,-11,11,6
593,-10,-4,4,6
594,-15,-1,1,14
595,-13,1,-1,14
596,-4,-12,12,-8
597,-4,5,-5,9
598,-11,-7,7,4
599,5,4,-4,-1
600,-8,-2,2,6
601,7,9,-9,2
602,-5,3,-3,8
603,-9,-14,14,-5
604,-14,-15,15,-1
605,4,11,-11,7
606,-9,-10,10,-1
607,8,10,-10,2
608,4,6,-6,2
609,2,-2,2,-4
610,-14,-9,9,5
611,-8,-10,10,-2
612,-10,-16,16,-6
613,-18,-5,5,13
614,-2,-6,6,-4
615,3,-10,10,-13
616,10,5,-5,-5
617,-7,-10,10,-3
618,13,11,-11,-2
619,-6,-13,13,-7
620,-7,8,-8,15
621,11,13,-13,2
622,15,5,-5,-10
623,5,8,-8,3
624,-10,-7,7,3
625,14,10,-10,-4
626,1,-9,9,-10
627,-1,0,0,1
628,0,0,0,0
629,8,16,-16,8
630,0,8,-8,8
631,12,14,-14,2
632,-13,-7,7,6
633,-11,-13,13,-2
634,-5,-10,10,-5
635,-9,3,-3,12
636,3,3,-3,0
637,-14,-7,7,7
638,4,3,-3,-1
639,13,6,-6,-7
640,-7,-9,9,-2
641,5,-10,10,-15
642,-1,-10,10,-9
643,1,13,-13,12
644,15,3,-3,-12
645,17,10,-10,-7
646,-18,-6,6,12
647,0,-7,7,-7
648,2,5,-5,3
649,3,2,-2,-1
650,-10,-15,15,-5
651,1,-6,6,-7
652,0,-11,11,-11
653,0,-12,12,-12
654,7,1,-1,-6
655,-7,6,-6,13
656,-6,-5,5,1
657,-11,-14,14,-3
658,9,11,-11,2
659,1,-7,7,-8
660,12,16,-16,4
661,10,4,-4,-6
662,-3,2,-2,5
663,4,4,-4,0
664,-15,-12,12,3
665,-8,6,-6,14
666,-14,1,-1,15
667,-15,-13,13,2
668,8,11,-11,3
669,-12,-4,4,8
670,-3,8,-8,11
671,-8,-15,15,-7
672,13,-2,2,-15
673,0,5,-5,5
674,-3,-11,11,-8
675,16,3,-3,-13
676,-8,-13,13,-5
677,5,6,-6,1
678,-7,0,0,7
679,5,13,-13,8
680,13,12,-12,-1
681,-9,-12,12,-3
682,-10,2,-2,12
683,1,5,-5,4
684,14,3,-3,-11
685,0,-9,9,-9
686,-16,-6,6,10
687,4,-7,7,-11
688,12,-2,2,-14
689,11,7,-7,-4
690,5,-8,8,-13
691,-17,-4,4,13
692,16,8,-8,-8
693,15,10,-10,-5
694,-3,6,-6,9
695,11,-1,1,-12
696,10,6,-6,-4
697,-12,-10,10,2
698,-10,3,-3,13
699,5,-5,5,-10
700,2,13,-13,11
701,-2,-2,2,0
702,16,7,-7,-9
703,3,-2,2,-5
704,11,-3,3,-14
705,-1,2,-2,3
706,-19,-8,8,11
707,14,11,-11,-3
708,-9,-16,16,-7
709,-10,-14,14,-4
710,-17,-8,8,9
711,10,9,-9,-1
712,13,-1,1,-14
713,14,2,-2,-12
714,1,11,-11,10
715,1,9,-9,8
716,-7,1,-1,8
717,-13,-9,9,4
718,17,7,-7,-10
719,12,15,-15,3
720,15,6,-6,-9
721,1,12,-12,11
722,-14,-1,1,13
723,-4,-7,7,-3
724,-3,5,-5,8
725,-9,-15,15,-6
726,-16,-12,12,4
727,-4,10,-10,14
728,-1,13,-13,14
729,17,12,-12,-5
730,-7,7,-7,14
731,10,-1,1,-11
732,6,0,0,-6
733,-4,-13,13,-9
734,-2,2,-2,4
735,-13,-10,10,3
736,8,-7,7,-15
737,9,10,-10,1
738,9,4,-4,-5
739,8,-6,6,-14
740,-6,-2,2,4
741,-5,-9,9,-4
742,9,2,-2,-7
743,-16,-3,3,13
744,16,9,-9,-7
745,6,7,-7,1
746,4,-1,1,-5
747,1,1,-1,0
748,14,6,-6,-8
749,2,-1,1,-3
750,-16,-8,8,8
751,2,4,-4,2
752,5,2,-2,-3
753,15,9,-9,-6
754,-6,-7,7,-1
755,5,14,-14,9
756,5,15,-15,10
757,-3,-3,3,0
758,-6,5,-5,11
759,0,14,-14,14
760,8,9,-9,1
761,-5,-13,13,-8
762,7,7,-7,0
763,12,2,-2,-10
764,-2,13,-13,15
765,7,2,-2,-5
766,-4,0,0,4
767,13,15,-15,2
768,-1,6,-6,7
769,-18,-9,9,9
770,-3,7,-7,10
771,-17,-10,10,7
772,5,7,-7,2
773,-15,-4,4,11
774,11,-5,5,-16
775,6,16,-16,10
776,5,16,-16,11
777,4,16,-16,12
778,-15,0,0,15
779,-5,11,-11,16
780,-12,-15,15,-3
781,-7,9,-9,16
782,-13,-15,15,-2
783,18,10,-10,-8
784,18,11,-11,-7
785,-7,10,-10,17
