column_id,LPLC2,LC4,LPLC1,LC17,LC12,LC18,LC21,LC11,LC25,LC15,sum
total,102,50,72,142,181,89,62,61,3,48,810
557,1,1,0,1,1,0,0,1,0,0,5
311,1,0,1,0,1,0,1,1,0,0,5
283,2,0,1,1,0,0,1,0,0,0,5
228,1,0,1,1,0,1,0,1,0,0,5
150,0,0,0,0,1,1,1,1,0,0,4
702,0,1,1,1,1,0,0,0,0,0,4
318,0,1,0,0,0,0,1,1,0,1,4
390,0,0,0,0,1,0,1,1,0,1,4
550,1,0,0,0,1,0,1,1,0,0,4
522,0,0,0,1,1,0,1,0,0,1,4
593,1,0,0,1,1,1,0,0,0,0,4
105,1,0,0,1,0,0,1,1,0,0,4
512,0,0,1,0,1,1,0,0,0,1,4
65,1,0,0,1,1,1,0,0,0,0,4
29,1,0,1,0,0,1,1,0,0,0,4
717,1,0,0,1,1,0,0,0,0,0,3
61,0,0,1,0,1,0,1,0,0,0,3
534,1,0,0,1,0,0,0,0,0,1,3
97,1,0,0,1,0,1,0,0,0,0,3
121,1,0,1,1,0,0,0,0,0,0,3
509,0,0,1,1,0,0,1,0,0,0,3
435,1,0,0,1,1,0,0,0,0,0,3
146,1,0,0,0,1,0,0,1,0,0,3
565,0,0,1,1,1,0,0,0,0,0,3
677,1,1,0,0,1,0,0,0,0,0,3
670,0,0,1,0,1,0,0,1,0,0,3
19,0,0,0,1,1,1,0,0,0,0,3
724,1,0,0,1,0,0,0,0,0,1,3
768,0,1,1,1,0,0,0,0,0,0,3
712,1,0,0,1,1,0,0,0,0,0,3
564,0,0,1,1,0,1,0,0,0,0,3
363,1,0,0,1,1,0,0,0,0,0,3
241,0,1,1,0,0,0,0,1,0,0,3
672,0,0,0,0,1,1,0,0,0,1,3
350,0,1,0,1,1,0,0,0,0,0,3
406,0,0,1,1,0,1,0,0,0,0,3
136,1,0,0,0,0,1,0,1,0,0,3
652,1,0,1,1,0,0,0,0,0,0,3
457,0,0,0,1,1,1,0,0,0,0,3
766,0,0,0,1,0,1,0,0,0,1,3
347,0,0,0,1,1,1,0,0,0,0,3
621,0,0,1,0,0,0,1,1,0,0,3
233,0,0,1,0,1,0,1,0,0,0,3
234,1,0,0,1,0,0,1,0,0,0,3
278,0,0,0,0,1,1,0,1,0,0,3
236,0,0,0,1,0,1,0,1,0,0,3
275,0,1,0,0,1,0,1,0,0,0,3
574,0,0,0,1,1,0,0,1,0,0,3
608,1,0,0,1,0,0,0,1,0,0,3
301,1,0,0,1,0,0,0,1,0,0,3
7,0,1,0,1,0,0,1,0,0,0,3
31,0,1,0,0,1,1,0,0,0,0,3
79,0,1,1,0,0,0,0,1,0,0,3
294,0,0,1,1,1,0,0,0,0,0,3
655,0,1,0,0,0,0,1,1,0,0,3
639,0,0,1,1,1,0,0,0,0,0,3
200,0,0,1,1,0,1,0,0,0,0,3
337,2,0,0,0,0,1,0,0,0,0,3
245,0,1,0,1,0,1,0,0,0,0,3
196,0,0,1,1,0,0,0,0,0,1,3
139,2,0,0,0,0,0,0,0,0,1,3
251,0,1,0,1,1,0,0,0,0,0,3
602,0,1,0,1,0,0,0,1,0,0,3
599,0,0,0,0,1,0,1,1,0,0,3
503,1,0,0,1,0,0,0,1,0,0,3
460,0,0,0,0,1,1,0,1,0,0,3
432,0,0,0,0,1,1,0,0,0,0,2
571,1,0,0,0,0,0,1,0,0,0,2
106,0,0,1,0,0,1,0,0,0,0,2
529,0,0,0,0,1,0,1,0,0,0,2
426,0,1,0,0,1,0,0,0,0,0,2
472,1,0,0,0,1,0,0,0,0,0,2
454,0,1,0,1,0,0,0,0,0,0,2
527,0,0,0,1,0,0,0,1,0,0,2
526,0,0,1,0,1,0,0,0,0,0,2
540,0,0,0,0,1,0,1,0,0,0,2
732,0,0,0,1,0,0,0,1,0,0,2
730,1,0,0,0,1,0,0,0,0,0,2
75,0,0,0,0,1,1,0,0,0,0,2
481,1,0,0,0,0,0,0,0,0,1,2
720,1,0,0,0,0,0,1,0,0,0,2
63,1,0,1,0,0,0,0,0,0,0,2
463,0,0,0,1,1,0,0,0,0,0,2
17,1,0,0,1,0,0,0,0,0,0,2
382,0,1,0,0,0,0,0,1,0,0,2
719,0,1,0,0,0,1,0,0,0,0,2
54,0,0,0,1,0,1,0,0,0,0,2
46,0,0,0,1,0,1,0,0,0,0,2
468,0,1,0,0,1,0,0,0,0,0,2
753,0,0,0,0,0,1,1,0,0,0,2
15,1,0,0,0,0,1,0,0,0,0,2
757,0,0,0,1,0,1,0,0,0,0,2
94,1,1,0,0,0,0,0,0,0,0,2
99,1,0,0,1,0,0,0,0,0,0,2
98,0,0,0,0,0,1,0,1,0,0,2
147,0,0,0,0,1,0,0,0,0,1,2
26,0,1,1,0,0,0,0,0,0,0,2
24,0,0,1,0,0,0,0,0,0,1,2
59,0,0,1,0,1,0,0,0,0,0,2
749,0,0,0,1,0,1,0,0,0,0,2
33,0,1,0,0,1,0,0,0,0,0,2
21,0,0,0,0,0,0,1,1,0,0,2
591,0,0,1,0,1,0,0,0,0,0,2
589,1,1,0,0,0,0,0,0,0,0,2
551,1,1,0,0,0,0,0,0,0,0,2
356,1,0,0,0,0,0,0,1,0,0,2
683,0,0,0,1,0,1,0,0,0,0,2
676,0,0,0,1,0,0,0,0,0,1,2
684,0,0,1,1,0,0,0,0,0,0,2
549,0,0,0,1,0,0,1,0,0,0,2
152,2,0,0,0,0,0,0,0,0,0,2
145,1,0,0,1,0,0,0,0,0,0,2
386,0,0,0,0,0,1,0,1,0,0,2
649,0,0,0,0,1,0,1,0,0,0,2
181,0,0,0,0,1,0,0,0,0,1,2
651,1,0,0,1,0,0,0,0,0,0,2
184,0,0,0,0,1,0,0,0,0,1,2
185,0,1,0,0,0,0,0,1,0,0,2
422,0,0,0,1,0,0,0,1,0,0,2
440,0,0,0,1,0,0,0,0,0,1,2
421,1,0,0,0,0,0,1,0,0,0,2
385,0,1,1,0,0,0,0,0,0,0,2
437,1,0,0,0,0,0,1,0,0,0,2
355,1,0,1,0,0,0,0,0,0,0,2
120,0,1,0,1,0,0,0,0,0,0,2
108,0,0,0,0,1,1,0,0,0,0,2
119,1,0,0,0,0,1,0,0,0,0,2
66,0,0,0,1,0,0,0,0,0,1,2
692,0,0,0,0,1,0,0,1,0,0,2
101,0,1,0,1,0,0,0,0,0,0,2
567,0,0,0,1,0,1,0,0,0,0,2
444,0,0,0,0,1,1,0,0,0,0,2
102,0,1,0,0,0,0,1,0,0,0,2
393,1,0,0,0,1,0,0,0,0,0,2
517,1,0,0,0,0,0,0,0,0,1,2
531,0,0,0,1,0,0,0,0,0,1,2
344,1,0,0,0,1,0,0,0,0,0,2
327,0,0,0,1,0,1,0,0,0,0,2
309,0,0,0,1,0,0,1,0,0,0,2
260,0,0,0,1,0,1,0,0,0,0,2
255,0,1,0,0,0,0,0,1,0,0,2
543,1,0,0,1,0,0,0,0,0,0,2
541,1,0,0,0,0,0,0,1,0,0,2
373,1,0,0,0,0,0,1,0,0,0,2
239,0,0,0,1,0,1,0,0,0,0,2
230,0,0,1,0,1,0,0,0,0,0,2
326,0,0,0,0,1,0,0,0,1,0,2
379,0,0,1,0,0,1,0,0,0,0,2
582,0,0,0,1,1,0,0,0,0,0,2
603,0,0,0,1,0,0,0,0,0,1,2
699,1,0,1,0,0,0,0,0,0,0,2
700,0,0,0,0,0,1,0,1,0,0,2
687,0,0,1,0,0,0,0,1,0,0,2
377,0,0,0,0,1,1,0,0,0,0,2
545,0,0,0,0,1,0,1,0,0,0,2
546,1,0,0,0,0,0,0,0,0,1,2
581,0,0,0,0,1,0,0,0,0,1,2
556,0,0,0,1,0,0,0,0,0,1,2
219,0,0,0,1,0,0,0,0,0,1,2
199,0,1,0,1,0,0,0,0,0,0,2
654,1,0,0,0,0,0,0,0,0,1,2
653,0,0,0,1,0,0,1,0,0,0,2
168,0,0,1,1,0,0,0,0,0,0,2
170,1,0,0,0,0,0,0,1,0,0,2
158,0,0,0,1,0,0,1,0,0,0,2
668,0,0,0,0,1,0,0,1,0,0,2
299,1,0,0,0,1,0,0,0,0,0,2
292,0,0,0,0,0,1,0,0,0,1,2
334,0,0,0,0,1,0,0,0,0,1,2
333,0,1,0,0,0,1,0,0,0,0,2
287,0,0,0,0,1,0,1,0,0,0,2
289,1,0,0,0,1,0,0,0,0,0,2
291,0,0,0,1,0,1,0,0,0,0,2
336,0,0,0,0,1,1,0,0,0,0,2
125,1,0,0,1,0,0,0,0,0,0,2
137,0,0,0,0,0,0,1,1,0,0,2
246,0,1,0,1,0,0,0,0,0,0,2
335,0,1,0,0,0,1,0,0,0,0,2
127,0,0,0,1,0,0,0,1,0,0,2
237,0,1,0,0,0,0,0,0,0,1,2
195,0,0,0,1,0,0,0,1,0,0,2
209,0,0,0,1,1,0,0,0,0,0,2
238,0,0,1,0,1,0,0,0,0,0,2
605,0,0,0,0,2,0,0,0,0,0,2
607,0,0,0,0,0,1,1,0,0,0,2
189,1,0,0,0,1,0,0,0,0,0,2
587,0,0,0,1,1,0,0,0,0,0,2
630,0,0,0,0,1,1,0,0,0,0,2
625,0,0,0,0,0,0,1,1,0,0,2
626,0,0,0,1,1,0,0,0,0,0,2
223,0,0,0,0,1,0,0,1,0,0,2
662,1,0,0,1,0,0,0,0,0,0,2
613,0,0,0,0,1,1,0,0,0,0,2
232,0,0,0,0,1,1,0,0,0,0,2
628,1,0,0,0,0,0,1,0,0,0,2
282,0,0,0,1,0,0,1,0,0,0,2
263,0,0,0,0,0,0,1,0,0,1,2
635,0,0,0,0,1,1,0,0,0,0,2
227,1,0,0,1,0,0,0,0,0,0,2
256,0,0,0,1,0,1,0,0,0,0,2
302,1,0,0,0,0,0,1,0,0,0,2
261,0,0,0,1,1,0,0,0,0,0,2
306,0,0,0,0,1,0,1,0,0,0,2
308,1,0,0,1,0,0,0,0,0,0,2
585,1,0,0,0,0,0,0,1,0,0,2
305,0,0,1,0,1,0,0,0,0,0,2
69,0,0,0,0,1,0,0,0,0,1,2
190,1,0,0,0,0,0,1,0,0,0,2
738,0,0,0,1,0,0,0,1,0,0,2
274,1,0,0,0,0,0,1,0,0,0,2
80,0,0,0,1,1,0,0,0,0,0,2
81,1,0,0,1,0,0,0,0,0,0,2
84,0,0,0,1,0,1,0,0,0,0,2
739,0,0,0,0,1,0,0,1,0,0,2
745,0,0,1,0,1,0,0,0,0,0,2
744,1,0,0,1,0,0,0,0,0,0,2
87,0,0,0,0,1,0,1,0,0,0,2
740,0,0,0,0,1,0,1,0,0,0,2
58,0,0,0,1,1,0,0,0,0,0,2
77,1,0,0,0,1,0,0,0,0,0,2
91,1,1,0,0,0,0,0,0,0,0,2
55,1,0,0,0,0,0,1,0,0,0,2
506,0,0,0,0,1,1,0,0,0,0,2
479,1,0,0,0,1,0,0,0,0,0,2
452,0,0,0,1,0,1,0,0,0,0,2
765,0,0,1,0,0,0,1,0,0,0,2
746,0,0,0,1,1,0,0,0,0,0,2
12,0,0,0,0,1,0,0,1,0,0,2
458,0,0,0,0,1,1,0,0,0,0,2
43,0,1,0,0,1,0,0,0,0,0,2
36,1,0,0,0,0,0,0,0,0,0,1
3,0,0,0,1,0,0,0,0,0,0,1
6,0,0,0,1,0,0,0,0,0,0,1
8,0,0,0,0,1,0,0,0,0,0,1
9,0,0,0,0,1,0,0,0,0,0,1
10,0,0,0,0,0,1,0,0,0,0,1
42,0,0,0,0,0,0,0,1,0,0,1
501,0,0,0,0,1,0,0,0,0,0,1
456,0,0,0,1,0,0,0,0,0,0,1
480,0,0,0,0,0,0,0,0,0,1,1
483,0,0,0,1,0,0,0,0,0,0,1
731,1,0,0,0,0,0,0,0,0,0,1
718,0,0,0,0,0,1,0,0,0,0,1
673,0,0,0,0,1,0,0,0,0,0,1
76,0,0,0,0,1,0,0,0,0,0,1
710,0,0,0,0,1,0,0,0,0,0,1
711,0,0,0,0,1,0,0,0,0,0,1
414,0,0,0,0,0,1,0,0,0,0,1
453,0,0,0,0,1,0,0,0,0,0,1
473,0,0,0,1,0,0,0,0,0,0,1
474,0,0,0,0,0,0,0,1,0,0,1
498,0,1,0,0,0,0,0,0,0,0,1
499,0,0,0,0,0,1,0,0,0,0,1
500,0,0,0,0,1,0,0,0,0,0,1
525,0,0,0,1,0,0,0,0,0,0,1
536,0,0,0,0,1,0,0,0,0,0,1
537,0,0,0,1,0,0,0,0,0,0,1
419,0,0,0,0,1,0,0,0,0,0,1
469,0,1,0,0,0,0,0,0,0,0,1
470,0,0,0,1,0,0,0,0,0,0,1
471,0,0,0,0,1,0,0,0,0,0,1
427,0,0,1,0,0,0,0,0,0,0,1
413,0,0,0,0,1,0,0,0,0,0,1
434,0,0,0,0,1,0,0,0,0,0,1
572,0,0,0,0,0,0,0,0,0,1,1
513,0,0,0,1,0,0,0,0,0,0,1
514,0,0,0,1,0,0,0,0,0,0,1
566,0,0,0,0,1,0,0,0,0,0,1
528,1,0,0,0,0,0,0,0,0,0,1
530,0,0,0,1,0,0,0,0,0,0,1
518,0,0,0,0,0,1,0,0,0,0,1
262,0,0,0,0,1,0,0,0,0,0,1
284,1,0,0,0,0,0,0,0,0,0,1
586,0,0,1,0,0,0,0,0,0,0,1
588,0,1,0,0,0,0,0,0,0,0,1
632,0,0,0,1,0,0,0,0,0,0,1
634,0,0,1,0,0,0,0,0,0,0,1
636,0,0,0,1,0,0,0,0,0,0,1
622,0,0,0,0,1,0,0,0,0,0,1
661,0,0,0,0,1,0,0,0,0,0,1
616,0,0,1,0,0,0,0,0,0,0,1
619,1,0,0,0,0,0,0,0,0,0,1
624,0,0,0,0,1,0,0,0,0,0,1
627,0,0,0,1,0,0,0,0,0,0,1
614,0,1,0,0,0,0,0,0,0,0,1
235,0,0,0,0,0,0,0,1,0,0,1
222,0,0,0,0,1,0,0,0,0,0,1
631,0,0,0,1,0,0,0,0,0,0,1
584,0,0,0,0,0,0,0,0,0,1,1
242,0,1,0,0,0,0,0,0,0,0,1
243,0,0,0,0,1,0,0,0,0,0,1
244,0,0,0,0,1,0,0,0,0,0,1
609,0,0,0,0,0,0,1,0,0,0,1
610,0,0,0,0,0,0,0,1,0,0,1
611,0,0,1,0,0,0,0,0,0,0,1
316,0,0,1,0,0,0,0,0,0,0,1
257,0,0,0,1,0,0,0,0,0,0,1
258,0,0,0,0,0,0,1,0,0,0,1
259,0,0,0,0,0,1,0,0,0,0,1
304,0,0,0,1,0,0,0,0,0,0,1
295,0,0,0,0,1,0,0,0,0,0,1
312,0,0,1,0,0,0,0,0,0,0,1
579,0,0,1,0,0,0,0,0,0,0,1
264,0,0,0,1,0,0,0,0,0,0,1
265,0,0,0,0,0,0,1,0,0,0,1
266,0,0,0,0,0,1,0,0,0,0,1
253,0,0,0,0,1,0,0,0,0,0,1
366,0,0,1,0,0,0,0,0,0,0,1
367,0,0,1,0,0,0,0,0,0,0,1
320,0,0,0,0,1,0,0,0,0,0,1
323,0,0,0,0,1,0,0,0,0,0,1
210,0,0,0,0,1,0,0,0,0,0,1
247,0,0,0,0,1,0,0,0,0,0,1
204,0,0,0,1,0,0,0,0,0,0,1
249,0,0,0,1,0,0,0,0,0,0,1
250,0,0,0,0,1,0,0,0,0,0,1
193,0,0,0,0,0,0,0,0,0,1,1
606,0,0,0,1,0,0,0,0,0,0,1
240,0,0,0,1,0,0,0,0,0,0,1
338,0,0,0,0,1,0,0,0,0,0,1
339,0,0,0,1,0,0,0,0,0,0,1
340,0,0,0,0,0,0,1,0,0,0,1
205,0,0,0,0,1,0,0,0,0,0,1
160,0,0,1,0,0,0,0,0,0,0,1
161,0,0,0,0,0,0,0,1,0,0,1
138,0,0,0,0,0,1,0,0,0,0,1
140,0,0,0,1,0,0,0,0,0,0,1
577,0,0,0,0,0,1,0,0,0,0,1
578,1,0,0,0,0,0,0,0,0,0,1
342,0,0,0,0,1,0,0,0,0,0,1
298,0,0,0,1,0,0,0,0,0,0,1
300,0,0,0,1,0,0,0,0,0,0,1
596,0,0,0,1,0,0,0,0,0,0,1
346,0,0,0,0,0,1,0,0,0,0,1
348,0,0,0,0,0,1,0,0,0,0,1
172,0,0,0,0,0,0,0,0,0,1,1
157,1,0,0,0,0,0,0,0,0,0,1
197,1,0,0,0,0,0,0,0,0,0,1
216,0,0,0,0,0,1,0,0,0,0,1
220,0,0,1,0,0,0,0,0,0,0,1
552,0,0,0,0,0,0,1,0,0,0,1
600,0,0,1,0,0,0,0,0,0,0,1
604,0,0,0,0,0,1,0,0,0,0,1
695,1,0,0,0,0,0,0,0,0,0,1
658,0,0,0,0,0,1,0,0,0,0,1
659,0,0,0,0,1,0,0,0,0,0,1
647,0,0,0,0,0,0,0,0,0,1,1
163,0,0,0,0,1,0,0,0,0,0,1
214,0,0,0,0,1,0,0,0,0,0,1
169,0,0,0,0,0,1,0,0,0,0,1
171,0,0,0,0,1,0,0,0,0,0,1
547,0,0,0,0,0,0,1,0,0,0,1
597,0,0,0,0,1,0,0,0,0,0,1
177,0,0,0,0,1,0,0,0,0,0,1
178,0,0,0,0,0,0,0,1,0,0,1
698,0,0,0,0,0,0,0,0,0,1,1
641,0,0,0,1,0,0,0,0,0,0,1
642,0,0,1,0,0,0,0,0,0,0,1
693,0,0,0,1,0,0,0,0,0,0,1
324,0,0,0,0,0,1,0,0,0,0,1
375,0,0,1,0,0,0,0,0,0,0,1
371,0,0,0,0,0,1,0,0,0,0,1
372,0,0,0,0,1,0,0,0,0,0,1
358,1,0,0,0,0,0,0,0,0,0,1
359,0,0,0,0,1,0,0,0,0,0,1
378,0,0,0,0,1,0,0,0,0,0,1
544,0,0,0,0,0,0,0,0,1,0,1
166,1,0,0,0,0,0,0,0,0,0,1
167,0,0,0,0,0,1,0,0,0,0,1
186,0,0,0,0,0,1,0,0,0,0,1
187,0,0,1,0,0,0,0,0,0,0,1
188,0,0,0,0,1,0,0,0,0,0,1
650,0,0,0,0,1,0,0,0,0,0,1
637,0,0,0,0,1,0,0,0,0,0,1
398,0,0,0,0,1,0,0,0,0,0,1
669,0,0,0,0,1,0,0,0,0,0,1
174,0,0,0,0,0,0,0,0,0,1,1
175,0,0,1,0,0,0,0,0,0,0,1
129,0,0,0,0,1,0,0,0,0,0,1
130,1,0,0,0,0,0,0,0,0,0,1
131,0,0,0,0,1,0,0,0,0,0,1
183,0,0,1,0,0,0,0,0,0,0,1
165,0,0,0,0,0,1,0,0,0,0,1
391,1,0,0,0,0,0,0,0,0,0,1
408,0,0,0,1,0,0,0,0,0,0,1
410,1,0,0,0,0,0,0,0,0,0,1
397,1,0,0,0,0,0,0,0,0,0,1
142,0,0,0,1,0,0,0,0,0,0,1
143,0,0,0,0,0,0,0,0,0,1,1
674,0,0,0,1,0,0,0,0,0,0,1
682,0,0,1,0,0,0,0,0,0,0,1
560,0,0,0,0,1,0,0,0,0,0,1
561,0,0,0,1,0,0,0,0,0,0,1
562,0,0,0,0,1,0,0,0,0,0,1
563,0,0,0,0,0,1,0,0,0,0,1
